Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,15/2/2017,93.099998,93.400002,94.150002,93,79.668739,8199546,,-0.000536812,,,,,,,92.0599996,55.97010748,0,0.050004,0.267857143,0.210714643,92.05409007,91.76695636,0.28713371,0.175869638
1.HK,16/2/2017,92.800003,93.5,93.75,92.599998,79.412041,5012333,,-0.003222288,,,,,,,92.09333293,59.05512741,0,0.299995,0.267857143,0.185714214,92.16884591,91.84347834,0.325367572,0.205769225
1.HK,17/2/2017,93.300003,92.599998,93.650002,92.599998,79.839897,4008662,,0.005387931,,,,,,,92.203333,58.06451873,0.5,0,0.257142786,0.185714214,92.34287008,91.95136905,0.391501024,0.242915585
1.HK,20/2/2017,92.800003,93,93.5,92.300003,79.412041,4018618,,-0.005359057,,,,,,,92.23666633,44.14420242,0,0.5,0.175000357,0.2214285,92.41319822,92.01423083,0.398967392,0.274125946
1.HK,21/2/2017,93.099998,92.550003,93.650002,92.5,79.668739,4362345,,0.003232705,,,,,,,92.21333307,59.78262169,0.299995,0,0.196428571,0.132142786,92.51885972,92.09465802,0.424201699,0.304141097
1.HK,22/2/2017,93.25,93.599998,93.599998,92.699997,79.797112,3829077,,0.001611192,,,,,,,92.28333327,63.73625166,0.150002,0,0.207143,0.117857286,92.63134284,92.18023891,0.451103932,0.333533664
1.HK,23/2/2017,92.5,92.550003,92.849998,92.199997,79.155319,6605769,,-0.008042895,,,,,,,92.3166666,57.42573669,0,0.75,0.207143,0.153571571,92.61113625,92.20392492,0.407211334,0.348269198
1.HK,24/2/2017,94.5,94,95.400002,93.050003,80.866776,13442822,,0.021621622,,,,,,,92.49999993,70.50356503,2,0,0.350000143,0.146428857,92.90173067,92.37400455,0.527726121,0.384160582
1.HK,27/2/2017,96.300003,95,96.849998,94.599998,82.407097,10206416,,0.019047651,,,,,,,92.81,77.01150746,1.800003,0,0.478571786,0.142857143,93.4245418,92.66481925,0.759722548,0.459272976
1.HK,28/2/2017,95.900002,96.699997,97.5,95.900002,82.064812,8566925,,-0.004153697,,,,,,,93.09666693,75.70621986,0,0.400001,0.478571786,0.1535715,93.80538183,92.90446242,0.900919412,0.547602263
